ISO;NAME_0;NAME_1;HASC_1;ENGTYPE_1
PRY;Paraguay;Alto Paraguay;PY.AG;Department
PRY;Paraguay;Alto Paraná;PY.AA;Department
PRY;Paraguay;Amambay;PY.AM;Department
PRY;Paraguay;Asunción;PY.AS;Capital District
PRY;Paraguay;Boquerón;PY.BQ;Department
PRY;Paraguay;Caaguazú;PY.CG;Department
PRY;Paraguay;Caazapá;PY.CZ;Department
PRY;Paraguay;Canindeyú;PY.CY;Department
PRY;Paraguay;Central;PY.CE;Department
PRY;Paraguay;Concepción;PY.CN;Department
PRY;Paraguay;Cordillera;PY.CR;Department
PRY;Paraguay;Guairá;PY.GU;Department
PRY;Paraguay;Itapúa;PY.IT;Department
PRY;Paraguay;Misiones;PY.MI;Department
PRY;Paraguay;Ñeembucú;PY.NE;Department
PRY;Paraguay;Paraguarí;PY.PG;Department
PRY;Paraguay;Presidente Hayes;PY.PH;Department
PRY;Paraguay;San Pedro;PY.SP;Department
